type, gallons, price 
Regular, 10.05, 20.0
Regular, 20.10, 40.0
Mid-Grade, 9.66, 20.0
Mid-Grade, 14.49, 30.0
Regular, 20.10, 40.0
Regular, 25.12, 50.0
Regular, 10.05, 20.0
Regular, 10.05, 20.0
Premium, 18.18, 40.0
Mid-Grade, 24.15, 50.0
Regular, 20.10, 40.0
Regular, 28.14, 56.0
Mid-Grade, 14.49, 30.0
Mid-Grade, 19.32, 40.0
Mid-Grade, 24.15, 50.0
Mid-Grade, 19.32, 40.0
Regular, 22.61, 45.0
Regular, 16.58, 33.0
Regular, 22.61, 45.0
Mid-Grade, 16.42, 34.0
Premium, 25.45, 56.0
Regular, 1256.28, 2500.0
Regular, 1178.39, 2345.0
Regular, 17.08, 34.0
Mid-Grade, 21.73, 45.0
Mid-Grade, 21.73, 45.0
Regular, 22.61, 45.0
Regular, 22.61, 45.0
Regular, 22.61, 45.0
Regular, 6.03, 12.0
Mid-Grade, 11.11, 23.0
Regular, 22.61, 45.0
Regular, 22.61, 45.0
Regular, 17.08, 34.0
Regular, 77.88, 155.0
Regular, 25125.62, 50000.0
Regular, 620356.28, 1234509.0
Mid-Grade, 1207.72, 2500.0
Mid-Grade, 1932.36, 4000.0
Regular, 3517.58, 7000.0
Regular, 1005.02, 2000.0
Regular, 301.50, 600.0
Regular, 251.25, 500.0
Regular, 351.75, 700.0
Regular, 351.75, 700.0
Mid-Grade, 15.45, 32.0
Mid-Grade, 20.77, 43.0
Regular, 17.08, 34.0
Regular, 17.08, 34.0
Regular, 16.08, 32.0
regular , 11.55, 23.0
Regular, 21.60, 43.0
one, 17.08, 34.0
one, 17.08, 34.0
one, 1736.18, 3455.0
two, 6203298.99, 12344565.0
one, 1736.18, 3455.0
Regular, 11786.43, 23455.0
Regular, 11.55, 23.0
Regular, 11.55, 23.0
Regular, 6203.51, 12345.0
Regular, 11.55, 23.0
Regular, 6203.51, 12345.0
Regular, 1737023.11, 3456676.0
Regular, 284.92, 567.0
Regular, 3015.07, 6000.0
Regular, 1507.53, 3000.0
midgrade, 17.08, 34.0
midgrade, 61.80, 123.0
regular, 28.14, 56.0
regular, 38.19, 76.0
regular, 28.14, 56.0
regular, 22.613065326633166, 45.0
